path,file_type,purpose,reusable,proposed_action,target_path,risk,notes
DATA/Top10listing&新品 差评分析.xlsx,xlsx,Original Listing workbook,yes,KEEP,data/history/source_workbooks,medium,Read-only source; map only after approval
listing_sources.json,json,Earlier THD and Lowes Listing extraction,yes,REVIEW_REQUIRED,data/history/listing_sources,medium,Uses legacy platform naming and no record_id
review_summary.json,json,Legacy review aggregate copy,conditional,REVIEW_REQUIRED,data/history/legacy_root,medium,Retain until dated run reconciliation
negative_reviews.json,json,Legacy review-detail copy,conditional,REVIEW_REQUIRED,data/history/legacy_root,high,No confirmed universal source review key
archive_manifest.json,json,Published report archive index,yes,KEEP,archive_manifest.json,medium,Root Pages dependency
index.html,html,Published archive portal,yes,KEEP,index.html,high,Do not move without Pages regression verification
pages_index.html,html,Legacy dashboard artifact,conditional,DEPRECATE,reports/legacy,medium,Keep for reproducibility only
publish_index.html,html,Legacy dashboard artifact,conditional,DEPRECATE,reports/legacy,medium,Keep for reproducibility only
thd_lowes_review_dashboard.html,html,Legacy THD and Lowes dashboard,conditional,DEPRECATE,reports/legacy,medium,Keep for reproducibility only
reports/2026-07-09-biweekly-review-analysis.html,html,Historical report,yes,KEEP,reports/2026-07-09-biweekly-review-analysis.html,high,Immutable published history
reports/2026-07-23-biweekly-review-analysis.html,html,Historical report,yes,KEEP,reports/2026-07-23-biweekly-review-analysis.html,high,Immutable published history
build_biweekly_report_data.ps1,powershell,Review aggregation and theme logic,yes,REFACTOR,modules/review_tracker,medium,Extract tested generic functions after approval
build_review_dashboard.ps1,powershell,Legacy collection and dashboard builder,partial,REVIEW_REQUIRED,modules/review_tracker,high,Contains hard-coded third-party access parameters
build_visual_dashboard.ps1,powershell,Report presentation builder,yes,REFACTOR,scripts/reporting,medium,Separate rendering from collection
build_pages_dashboard.ps1,powershell,Older Pages dashboard builder,partial,DEPRECATE,scripts/legacy,medium,Duplicate presentation path
build_static_dashboard.ps1,powershell,Older static dashboard builder,partial,DEPRECATE,scripts/legacy,medium,Duplicate presentation path
build_archive_portal.ps1,powershell,Older archive portal builder,partial,DEPRECATE,scripts/legacy,medium,Superseded by update script
update_archive_portal.ps1,powershell,Archive portal update builder,yes,REFACTOR,scripts/reporting,medium,Parameterize and regression-test first
build_archive_portal.ps1,powershell,Archive portal generator,partial,DEPRECATE,scripts/legacy,medium,Retain without deletion
.nojekyll,config,GitHub Pages control file,yes,KEEP,.nojekyll,high,Published-site dependency
runs/2026-07-23-biweekly-review-analysis/review_summary.json,json,Dated review aggregate,yes,KEEP,data/history/2026-07-23,high,Approved copy only
runs/2026-07-23-biweekly-review-analysis/low_star_reviews.json,json,Dated readable low-star reviews,yes,KEEP,data/history/2026-07-23,high,Approved copy only
runs/2026-07-23-biweekly-review-analysis/qa_report.json,json,Data QA evidence,yes,KEEP,data/history/2026-07-23,medium,Retain with source data
runs/2026-07-23-biweekly-review-analysis/listing_sources.json,json,Dated Listing source map,yes,KEEP,data/history/2026-07-23,medium,Input to record_id mapping
runs/2026-07-23-biweekly-review-analysis/listing_sources_bv.json,json,Bazaarvoice source map,conditional,KEEP,data/history/2026-07-23,medium,Technical evidence only
runs/2026-07-23-biweekly-review-analysis/listing_sources_walmart.json,json,Walmart source map,conditional,KEEP,data/history/2026-07-23,medium,Technical evidence only
runs/2026-07-23-biweekly-review-analysis/review_summary_bv.json,json,Bazaarvoice intermediate aggregate,conditional,KEEP,data/history/2026-07-23,medium,Technical evidence only
runs/2026-07-23-biweekly-review-analysis/low_star_reviews_bv.json,json,Bazaarvoice intermediate reviews,conditional,KEEP,data/history/2026-07-23,high,Review identity gate applies
