issue_id,severity,record_id,platform,field,issue_type,current_value,recommended_action,blocking_phase2,notes
ISS-001,MEDIUM,THD_WBP31BCF,THD,model,MISSING_MODEL,[blank],User to confirm product model before Phase 2 selection.,FALSE,No model was inferred from product name.
ISS-002,HIGH,THD_WBP31BCF,THD,primary_keyword,MISSING_PRIMARY_KEYWORD,[blank],User to provide the intended primary keyword; do not infer it.,FALSE,Blocks rank-monitor scope approval only.
ISS-003,MEDIUM,THD_WBP31BCF,THD,zip_code,INVALID_ZIP_CODE,[blank],User to provide a five-digit US ZIP if rank monitoring is requested.,FALSE,ZIP is required only for applicable location-sensitive rank scope.
ISS-004,MEDIUM,THD_WBP52BCI,THD,model,MISSING_MODEL,[blank],User to confirm product model before Phase 2 selection.,FALSE,No model was inferred from product name.
ISS-005,HIGH,THD_WBP52BCI,THD,primary_keyword,MISSING_PRIMARY_KEYWORD,[blank],User to provide the intended primary keyword; do not infer it.,FALSE,Blocks rank-monitor scope approval only.
ISS-006,MEDIUM,THD_WBP52BCI,THD,zip_code,INVALID_ZIP_CODE,[blank],User to provide a five-digit US ZIP if rank monitoring is requested.,FALSE,ZIP is required only for applicable location-sensitive rank scope.
ISS-007,MEDIUM,THD_WBPMT26TS,THD,model,MISSING_MODEL,[blank],User to confirm product model before Phase 2 selection.,FALSE,No model was inferred from product name.
ISS-008,HIGH,THD_WBPMT26TS,THD,primary_keyword,MISSING_PRIMARY_KEYWORD,[blank],User to provide the intended primary keyword; do not infer it.,FALSE,Blocks rank-monitor scope approval only.
ISS-009,MEDIUM,THD_WBPMT26TS,THD,zip_code,INVALID_ZIP_CODE,[blank],User to provide a five-digit US ZIP if rank monitoring is requested.,FALSE,ZIP is required only for applicable location-sensitive rank scope.
ISS-010,MEDIUM,THD_WBP31TS,THD,model,MISSING_MODEL,[blank],User to confirm product model before Phase 2 selection.,FALSE,No model was inferred from product name.
ISS-011,HIGH,THD_WBP31TS,THD,primary_keyword,MISSING_PRIMARY_KEYWORD,[blank],User to provide the intended primary keyword; do not infer it.,FALSE,Blocks rank-monitor scope approval only.
ISS-012,MEDIUM,THD_WBP31TS,THD,zip_code,INVALID_ZIP_CODE,[blank],User to provide a five-digit US ZIP if rank monitoring is requested.,FALSE,ZIP is required only for applicable location-sensitive rank scope.
ISS-013,MEDIUM,THD_WB26GTC,THD,model,MISSING_MODEL,[blank],User to confirm product model before Phase 2 selection.,FALSE,No model was inferred from product name.
ISS-014,HIGH,THD_WB26GTC,THD,primary_keyword,MISSING_PRIMARY_KEYWORD,[blank],User to provide the intended primary keyword; do not infer it.,FALSE,Blocks rank-monitor scope approval only.
ISS-015,MEDIUM,THD_WB26GTC,THD,zip_code,INVALID_ZIP_CODE,[blank],User to provide a five-digit US ZIP if rank monitoring is requested.,FALSE,ZIP is required only for applicable location-sensitive rank scope.
ISS-016,MEDIUM,THD_WBBPBL43,THD,model,MISSING_MODEL,[blank],User to confirm product model before Phase 2 selection.,FALSE,No model was inferred from product name.
ISS-017,HIGH,THD_WBBPBL43,THD,primary_keyword,MISSING_PRIMARY_KEYWORD,[blank],User to provide the intended primary keyword; do not infer it.,FALSE,Blocks rank-monitor scope approval only.
ISS-018,MEDIUM,THD_WBBPBL43,THD,zip_code,INVALID_ZIP_CODE,[blank],User to provide a five-digit US ZIP if rank monitoring is requested.,FALSE,ZIP is required only for applicable location-sensitive rank scope.
ISS-019,MEDIUM,THD_WB53CULT,THD,model,MISSING_MODEL,[blank],User to confirm product model before Phase 2 selection.,FALSE,No model was inferred from product name.
ISS-020,HIGH,THD_WB53CULT,THD,primary_keyword,MISSING_PRIMARY_KEYWORD,[blank],User to provide the intended primary keyword; do not infer it.,FALSE,Blocks rank-monitor scope approval only.
ISS-021,MEDIUM,THD_WB53CULT,THD,zip_code,INVALID_ZIP_CODE,[blank],User to provide a five-digit US ZIP if rank monitoring is requested.,FALSE,ZIP is required only for applicable location-sensitive rank scope.
ISS-022,MEDIUM,THD_WB52CCBPB,THD,model,MISSING_MODEL,[blank],User to confirm product model before Phase 2 selection.,FALSE,No model was inferred from product name.
ISS-023,HIGH,THD_WB52CCBPB,THD,primary_keyword,MISSING_PRIMARY_KEYWORD,[blank],User to provide the intended primary keyword; do not infer it.,FALSE,Blocks rank-monitor scope approval only.
ISS-024,MEDIUM,THD_WB52CCBPB,THD,zip_code,INVALID_ZIP_CODE,[blank],User to provide a five-digit US ZIP if rank monitoring is requested.,FALSE,ZIP is required only for applicable location-sensitive rank scope.
ISS-025,MEDIUM,THD_SKRMS4,THD,model,MISSING_MODEL,[blank],User to confirm product model before Phase 2 selection.,FALSE,No model was inferred from product name.
